x, 0, 0, 2023-11-13 18:53:22.046758, queries/stack__base_query_split_1/train/q4__q4-002.sql, 51.258, 506.126, PG
x, 0, 1, 2023-11-13 18:53:22.208247, queries/stack__base_query_split_1/train/q4__q4-002.sql, 32.142, 101.569, PG
x, 0, 2, 2023-11-13 18:53:25.084109, queries/stack__base_query_split_1/train/q4__q4-002.sql, 481.697, 59.869, PG
x, 1, 0, 2023-11-13 18:53:25.263508, queries/stack__base_query_split_1/train/q11__6c5cba419c5b7b02d431aeb5e766d775d812967a.sql, 3.942, 158.924, PG
x, 1, 1, 2023-11-13 18:53:25.364996, queries/stack__base_query_split_1/train/q11__6c5cba419c5b7b02d431aeb5e766d775d812967a.sql, 4.791, 80.636, PG
x, 1, 2, 2023-11-13 18:53:27.409456, queries/stack__base_query_split_1/train/q11__6c5cba419c5b7b02d431aeb5e766d775d812967a.sql, 465.146, 73.051, PG
x, 2, 0, 2023-11-13 18:53:27.693562, queries/stack__base_query_split_1/train/q15__21e4988a3f47be288de5891d69acf91928ed94eb.sql, 27.475, 237.626, PG
x, 2, 1, 2023-11-13 18:53:27.897930, queries/stack__base_query_split_1/train/q15__21e4988a3f47be288de5891d69acf91928ed94eb.sql, 28.072, 159.528, PG
x, 2, 2, 2023-11-13 18:53:30.236233, queries/stack__base_query_split_1/train/q15__21e4988a3f47be288de5891d69acf91928ed94eb.sql, 494.216, 139.255, PG
x, 3, 0, 2023-11-13 18:53:30.391963, queries/stack__base_query_split_1/train/q14__63c0776f1727638316b966fe748df7cc585a335b.sql, 46.152, 94.729, PG
x, 3, 1, 2023-11-13 18:53:30.523250, queries/stack__base_query_split_1/train/q14__63c0776f1727638316b966fe748df7cc585a335b.sql, 48.302, 68.194, PG
x, 3, 2, 2023-11-13 18:53:32.805091, queries/stack__base_query_split_1/train/q14__63c0776f1727638316b966fe748df7cc585a335b.sql, 500.409, 54.371, PG
x, 4, 0, 2023-11-13 18:53:32.864609, queries/stack__base_query_split_1/train/q5__q5-015.sql, 19.18, 26.605, PG
x, 4, 1, 2023-11-13 18:53:32.925642, queries/stack__base_query_split_1/train/q5__q5-015.sql, 19.787, 26.214, PG
x, 4, 2, 2023-11-13 18:53:34.956274, queries/stack__base_query_split_1/train/q5__q5-015.sql, 490.104, 21.828, PG
x, 5, 0, 2023-11-13 18:53:35.073679, queries/stack__base_query_split_1/train/q4__q4-042.sql, 17.557, 84.14, PG
x, 5, 1, 2023-11-13 18:53:35.165407, queries/stack__base_query_split_1/train/q4__q4-042.sql, 18.944, 56.647, PG
x, 5, 2, 2023-11-13 18:53:37.318661, queries/stack__base_query_split_1/train/q4__q4-042.sql, 489.357, 40.845, PG
x, 6, 0, 2023-11-13 18:53:37.385033, queries/stack__base_query_split_1/train/q6__q6-069.sql, 18.8, 31.05, PG
x, 6, 1, 2023-11-13 18:53:37.444060, queries/stack__base_query_split_1/train/q6__q6-069.sql, 16.471, 31.228, PG
x, 6, 2, 2023-11-13 18:53:39.484950, queries/stack__base_query_split_1/train/q6__q6-069.sql, 494.558, 26.044, PG
x, 7, 0, 2023-11-13 18:53:39.615497, queries/stack__base_query_split_1/train/q11__e4ca35591923cf4efc89e64b17fb4d330c0b34df.sql, 2.51, 119.598, PG
