x, 0, 0, 2023-11-14 20:48:00.704567, queries/stack__leave_one_out_split_1/train/q3__q3-099.sql, 97.457, 897.228, PG
x, 0, 1, 2023-11-14 20:48:01.704521, queries/stack__leave_one_out_split_1/train/q3__q3-099.sql, 97.623, 887.604, PG
x, 0, 2, 2023-11-14 20:48:05.418693, queries/stack__leave_one_out_split_1/train/q3__q3-099.sql, 485.398, 837.427, PG
x, 1, 0, 2023-11-14 20:48:05.900261, queries/stack__leave_one_out_split_1/train/q11__87c4bd0930b02a3361ac2e86c453db1fec60dc6b.sql, 3.004, 469.263, PG
x, 1, 1, 2023-11-14 20:48:06.378497, queries/stack__leave_one_out_split_1/train/q11__87c4bd0930b02a3361ac2e86c453db1fec60dc6b.sql, 3.876, 460.506, PG
x, 1, 2, 2023-11-14 20:48:08.627934, queries/stack__leave_one_out_split_1/train/q11__87c4bd0930b02a3361ac2e86c453db1fec60dc6b.sql, 383.355, 239.986, PG
x, 2, 0, 2023-11-14 20:48:12.167565, queries/stack__leave_one_out_split_1/train/q14__97e68ad5c2ced4c182366b3118a1f5f69b423fa6.sql, 40.59, 3479.552, PG
x, 2, 1, 2023-11-14 20:48:15.451717, queries/stack__leave_one_out_split_1/train/q14__97e68ad5c2ced4c182366b3118a1f5f69b423fa6.sql, 41.295, 3222.818, PG
x, 2, 2, 2023-11-14 20:48:24.068731, queries/stack__leave_one_out_split_1/train/q14__97e68ad5c2ced4c182366b3118a1f5f69b423fa6.sql, 431.961, 2671.882, PG
x, 3, 0, 2023-11-14 20:48:24.427923, queries/stack__leave_one_out_split_1/train/q14__4063b6cbbd1c0f2a902a647aafe24174a75f53cd.sql, 40.609, 308.307, PG
x, 3, 1, 2023-11-14 20:48:24.794742, queries/stack__leave_one_out_split_1/train/q14__4063b6cbbd1c0f2a902a647aafe24174a75f53cd.sql, 41.325, 309.158, PG
x, 3, 2, 2023-11-14 20:48:27.269125, queries/stack__leave_one_out_split_1/train/q14__4063b6cbbd1c0f2a902a647aafe24174a75f53cd.sql, 424.403, 335.879, PG
x, 4, 0, 2023-11-14 20:48:27.323155, queries/stack__leave_one_out_split_1/train/q5__q5-052.sql, 17.349, 23.176, PG
x, 4, 1, 2023-11-14 20:48:27.373560, queries/stack__leave_one_out_split_1/train/q5__q5-052.sql, 17.565, 22.552, PG
x, 4, 2, 2023-11-14 20:48:29.095550, queries/stack__leave_one_out_split_1/train/q5__q5-052.sql, 403.427, 20.155, PG
x, 5, 0, 2023-11-14 20:48:29.177092, queries/stack__leave_one_out_split_1/train/q4__q4-064.sql, 17.419, 49.604, PG
x, 5, 1, 2023-11-14 20:48:29.248462, queries/stack__leave_one_out_split_1/train/q4__q4-064.sql, 14.955, 46.637, PG
x, 5, 2, 2023-11-14 20:48:31.004211, queries/stack__leave_one_out_split_1/train/q4__q4-064.sql, 406.458, 35.902, PG
x, 6, 0, 2023-11-14 20:48:31.844242, queries/stack__leave_one_out_split_1/train/q7__q7-082.sql, 4.348, 819.862, PG
x, 6, 1, 2023-11-14 20:48:32.670243, queries/stack__leave_one_out_split_1/train/q7__q7-082.sql, 1.59, 815.227, PG
x, 6, 2, 2023-11-14 20:48:35.982228, queries/stack__leave_one_out_split_1/train/q7__q7-082.sql, 399.668, 775.158, PG
x, 7, 0, 2023-11-14 20:48:36.123536, queries/stack__leave_one_out_split_1/train/q12__0700720596313f7fa30c0dd3d4a3001c896ba760.sql, 12.048, 121.974, PG
x, 7, 1, 2023-11-14 20:48:36.278138, queries/stack__leave_one_out_split_1/train/q12__0700720596313f7fa30c0dd3d4a3001c896ba760.sql, 11.201, 134.888, PG
x, 7, 2, 2023-11-14 20:48:38.191923, queries/stack__leave_one_out_split_1/train/q12__0700720596313f7fa30c0dd3d4a3001c896ba760.sql, 397.063, 125.776, PG
x, 8, 0, 2023-11-14 20:48:42.177998, queries/stack__leave_one_out_split_1/train/q16__fbe34e8fdf672a34fd82cbbd6d9a81fd02ce17d1.sql, 17.558, 3954.906, PG
x, 8, 1, 2023-11-14 20:48:47.117522, queries/stack__leave_one_out_split_1/train/q16__fbe34e8fdf672a34fd82cbbd6d9a81fd02ce17d1.sql, 17.956, 4906.313, PG
x, 8, 2, 2023-11-14 20:48:57.146395, queries/stack__leave_one_out_split_1/train/q16__fbe34e8fdf672a34fd82cbbd6d9a81fd02ce17d1.sql, 411.96, 4440.449, PG
x, 9, 0, 2023-11-14 20:48:57.635746, queries/stack__leave_one_out_split_1/train/q11__87c4bd0930b02a3361ac2e86c453db1fec60dc6b.sql, 5.322, 470.564, PG
x, 9, 1, 2023-11-14 20:48:58.121729, queries/stack__leave_one_out_split_1/train/q11__87c4bd0930b02a3361ac2e86c453db1fec60dc6b.sql, 5.348, 466.438, PG
